,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes
0,10,10
1,0,0
2,5,5
3,2,2
4,2,2
5,2,2
6,3,3
7,3,3
8,3,3
9,1,1
10,10,10
11,1,1
12,1,1
13,0,0
14,0,0
15,0,0
16,1,1
17,2,2
18,2,2
19,2,2
20,2,2
21,2,2
22,2,2
23,7,7
24,2,2
25,2,2
26,1,1
27,7,7
28,7,7
29,1,1
30,7,7
31,7,7
32,4,4
33,2,2
34,1,1
35,62,62
36,62,62
37,62,62
38,1,1
39,5,5
40,4,4
41,3,3
42,1,1
43,0,0
44,0,0
45,1,1
46,1,1
47,0,0
48,1,1
49,0,0
50,0,0
51,2,2
52,5,5
53,5,5
54,10,10
55,1,1
56,3,3
57,3,3
58,5,5
59,10,10
60,1,1
61,0,0
62,1,1
63,1,1
64,5,5
65,5,5
66,0,0
67,5,5
68,5,5
69,5,5
70,2,2
71,1,1
72,1,1
73,0,0
74,1,1
75,3,3
76,1,1
77,3,3
78,3,3
79,0,0
80,1,1
81,1,1
82,3,3
83,1,1
84,0,0
85,4,4
86,2,2
87,2,2
88,3,3
89,4,4
90,3,3
91,3,3
92,3,3
93,2,2
94,3,3
95,2,2
96,1,1
97,2,2
98,1,1
99,1,1
100,2,2
101,1,1
102,1,1
103,7,7
104,1,1
105,0,0
106,0,0
107,4,4
108,18,18
109,2,2
110,0,0
111,1,1
112,3,3
113,3,3
114,1,1
115,3,3
116,1,1
117,2,2
118,1,1
119,2,2
120,3,3
121,0,0
122,0,0
123,0,0
124,0,0
125,1,1
126,2,2
127,2,2
128,0,0
129,1,1
130,62,62
131,0,0
132,3,3
133,1,1
134,6,6
135,9,9
136,0,0
137,9,9
138,2,2
139,1,1
140,0,0
141,0,0
142,0,0
143,4,4
144,5,5
145,2,2
146,9,9
147,2,2
148,25,25
149,6,6
150,1,1
151,1,1
152,2,2
153,2,2
154,1,1
155,1,1
156,4,4
157,1,1
158,1,1
159,1,1
160,3,3
161,1,1
162,3,3
163,0,0
164,0,0
165,5,5
166,1,1
167,2,2
168,3,3
169,1,1
170,1,1
171,1,1
172,0,0
173,1,1
174,2,2
175,0,0
176,1,1
177,4,4
178,4,4
179,4,4
180,2,2
181,9,9
182,1,1
183,0,0
184,4,4
185,3,3
186,1,1
187,2,2
188,0,0
189,1,1
190,1,1
191,0,0
192,0,0
193,0,0
194,3,3
195,1,1
196,3,3
197,6,6
198,1,1
199,6,6
200,6,6
201,3,3
202,3,3
203,3,3
204,1,1
205,1,1
206,0,0
207,1,1
208,3,3
209,0,0
210,1,1
211,1,1
212,1,1
213,1,1
214,5,5
215,1,1
216,0,0
217,1,1
218,0,0
219,1,1
220,8,8
221,3,3
222,3,3
223,1,1
224,3,3
225,1,1
226,1,1
227,1,1
228,1,1
229,1,1
230,2,2
231,1,1
232,2,2
233,1,1
234,6,6
235,2,2
236,1,1
237,10,10
238,10,10
239,0,0
240,1,1
241,7,7
242,3,3
243,3,3
244,2,2
245,1,1
246,2,2
247,4,4
248,2,2
249,2,2
250,2,2
251,1,1
252,1,1
253,2,2
254,3,3
255,3,3
256,7,7
257,1,1
258,1,1
259,2,2
260,2,2
261,0,0
262,10,10
263,0,0
264,3,3
265,3,3
266,4,4
267,2,2
268,1,1
269,3,3
270,1,1
271,0,0
272,3,3
273,4,4
274,0,0
275,1,1
276,10,10
277,0,0
278,1,1
279,0,0
280,1,1
281,4,4
282,4,4
283,2,2
284,2,2
285,1,1
286,3,3
287,2,2
288,1,1
289,4,4
290,12,12
291,1,1
292,0,0
293,2,2
294,18,18
295,0,0
296,1,1
297,11,11
298,1,1
299,3,3
300,0,0
301,2,2
302,1,1
303,0,0
304,5,5
305,5,5
306,1,1
307,1,1
308,0,0
309,2,2
310,0,0
311,0,0
312,1,1
313,3,3
314,3,3
315,0,0
316,1,1
317,1,1
318,2,2
319,3,3
320,3,3
321,0,0
322,0,0
323,0,0
324,0,0
325,2,2
326,0,0
327,5,5
328,1,1
329,0,0
330,0,0
331,6,6
332,0,0
333,1,1
334,1,1
335,3,3
336,2,2
337,6,6
338,1,1
339,0,0
340,2,2
341,1,1
342,1,1
343,2,2
344,4,4
345,0,0
346,5,5
347,8,8
348,3,3
349,2,2
350,1,1
351,9,9
352,2,2
353,2,2
354,1,1
355,1,1
356,3,3
357,3,3
358,1,1
359,9,9
360,9,9
361,3,3
362,3,3
363,0,0
364,2,2
365,3,3
366,3,3
367,3,3
368,1,1
369,2,2
370,1,1
371,4,4
372,4,4
373,4,4
374,3,3
375,4,4
376,9,9
377,1,1
378,5,5
379,8,8
380,6,6
381,3,3
382,18,18
383,5,5
384,1,1
385,1,1
386,0,0
387,1,1
388,2,2
389,1,1
390,5,5
391,1,1
392,1,1
393,1,1
394,1,1
395,1,1
396,4,4
397,0,0
398,1,1
399,2,2
400,1,1
401,2,2
402,0,0
403,3,3
404,2,2
405,1,1
406,1,1
407,4,4
408,0,0
409,0,0
410,0,0
411,17,17
412,2,2
413,1,1
414,17,17
415,2,2
416,4,4
417,4,4
418,1,1
419,0,0
420,4,4
421,1,1
422,1,1
423,0,0
424,0,0
425,2,2
426,1,1
427,1,1
428,1,1
429,2,2
430,1,1
431,17,17
432,1,1
433,0,0
434,3,3
435,1,1
436,1,1
437,0,0
438,1,1
439,2,2
440,1,1
441,3,3
442,2,2
443,5,5
444,12,12
445,12,12
446,0,0
447,0,0
448,1,1
449,5,5
450,1,1
451,1,1
452,3,3
453,0,0
454,3,3
455,0,0
456,5,5
457,5,5
458,2,2
459,1,1
460,5,5
461,0,0
462,0,0
463,5,5
464,4,4
465,4,4
466,4,4
467,1,1
468,4,4
469,4,4
470,1,1
471,2,2
472,2,2
473,3,3
474,1,1
475,0,0
476,2,2
477,1,1
478,0,0
479,5,5
480,1,1
481,3,3
482,5,5
483,2,2
484,2,2
485,2,2
486,9,9
487,5,5
488,1,1
489,5,5
490,1,1
491,3,3
492,1,1
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,1,1
499,2,2
500,1,1
501,1,1
502,5,5
503,1,1
504,1,1
505,1,1
506,2,2
507,3,3
508,2,2
509,1,1
510,3,3
511,2,2
512,2,2
513,4,4
514,0,0
515,3,3
516,1,1
517,1,1
518,1,1
519,1,1
520,3,3
521,20,20
522,0,0
523,6,6
524,6,6
525,6,6
526,6,6
527,1,1
528,5,5
529,3,3
530,6,6
531,1,1
532,9,9
533,0,0
534,4,4
535,0,0
536,1,1
537,1,1
538,3,3
539,1,1
540,2,2
541,3,3
542,4,4
543,4,4
544,4,4
545,1,1
546,1,1
547,2,2
548,0,0
549,1,1
550,0,0
551,2,2
552,2,2
553,4,4
554,5,5
555,2,2
556,5,5
557,5,5
558,2,2
559,2,2
560,3,3
561,1,1
562,1,1
563,6,6
564,1,1
565,1,1
566,1,1
567,1,1
568,20,20
569,20,20
570,4,4
571,4,4
572,4,4
573,1,1
574,1,1
575,9,9
576,9,9
577,9,9
578,1,1
579,5,5
580,1,1
581,6,6
582,9,9
583,0,0
584,1,1
585,2,2
586,5,5
587,4,4
588,3,3
589,4,4
590,4,4
591,2,2
592,2,2
593,1,1
594,3,3
595,3,3
596,1,1
597,3,3
598,1,1
599,0,0
600,0,0
601,4,4
602,3,3
603,2,2
604,3,3
605,1,1
606,9,9
607,0,0
608,8,8
609,8,8
610,3,3
611,1,1
612,4,4
613,4,4
614,2,2
615,6,6
616,2,2
617,8,8
618,18,18
619,18,18
620,1,1
621,18,18
622,18,18
623,18,18
624,18,18
625,3,3
626,2,2
627,2,2
628,2,2
629,1,1
630,2,2
631,2,2
632,2,2
633,1,1
634,18,18
635,3,3
636,0,0
637,5,5
638,2,2
639,2,2
640,2,2
641,3,3
642,3,3
643,4,4
644,5,5
645,5,5
646,1,1
647,5,5
648,3,3
649,1,1
650,3,3
651,8,8
652,2,2
653,6,6
654,1,1
655,2,2
656,1,1
657,0,0
658,3,3
659,1,1
660,2,2
661,4,4
662,3,3
663,1,1
664,1,1
665,15,15
666,18,18
667,1,1
668,5,5
669,3,3
670,3,3
671,1,1
672,1,1
673,4,4
674,0,0
675,1,1
676,1,1
677,1,1
678,1,1
679,3,3
680,6,6
681,4,4
682,1,1
683,3,3
684,2,2
685,2,2
686,1,1
687,5,5
688,5,5
689,1,1
690,5,5
691,5,5
692,1,1
693,1,1
694,0,0
695,3,3
696,1,1
697,3,3
698,1,1
699,1,1
700,2,2
701,2,2
702,1,1
703,0,0
704,13,13
705,2,2
706,3,3
707,2,2
708,1,1
709,2,2
710,1,1
711,2,2
712,4,4
713,0,0
714,1,1
715,2,2
716,3,3
717,3,3
718,0,0
719,1,1
720,2,2
721,4,4
722,13,13
723,3,3
724,0,0
725,4,4
726,1,1
727,5,5
728,1,1
729,0,0
730,9,9
731,4,4
732,4,4
733,0,0
734,1,1
735,5,5
736,3,3
737,3,3
738,6,6
739,18,18
740,1,1
741,0,0
742,1,1
743,1,1
744,0,0
745,2,2
746,62,62
747,5,5
748,4,4
749,0,0
750,1,1
751,3,3
752,2,2
753,2,2
754,1,1
755,4,4
756,20,20
757,0,0
758,6,6
759,1,1
760,0,0
761,0,0
762,1,1
763,5,5
764,1,1
